index,keyword,date,search
774,쇼츠,2025-05-13,55.32831
775,쇼츠,2025-05-14,57.05059
776,쇼츠,2025-05-15,56.62002
777,쇼츠,2025-05-16,60.17222
778,쇼츠,2025-05-17,46.60925
779,쇼츠,2025-05-18,51.0226
780,쇼츠,2025-05-19,51.88374
781,쇼츠,2025-05-20,54.25188
782,쇼츠,2025-05-21,64.37029
783,쇼츠,2025-05-22,53.06781
784,쇼츠,2025-05-23,50.2691
785,쇼츠,2025-05-24,48.7621
786,쇼츠,2025-05-25,49.5156
787,쇼츠,2025-05-26,55.97416
788,쇼츠,2025-05-27,58.3423
789,쇼츠,2025-05-28,53.39074
790,쇼츠,2025-05-29,56.72766
791,쇼츠,2025-05-30,55.75888
792,쇼츠,2025-05-31,51.56081
793,쇼츠,2025-06-01,48.65446
794,쇼츠,2025-06-02,56.94294
795,쇼츠,2025-06-03,54.25188
796,쇼츠,2025-06-04,49.73089
797,쇼츠,2025-06-05,57.15823
798,쇼츠,2025-06-06,51.0226
799,쇼츠,2025-06-07,49.62325
800,쇼츠,2025-06-08,48.54682
801,쇼츠,2025-06-09,54.46716
802,쇼츠,2025-06-10,59.0958
803,쇼츠,2025-06-11,62.32508
804,쇼츠,2025-06-12,54.57481
805,쇼츠,2025-06-13,56.40473
806,쇼츠,2025-06-14,55.75888
807,쇼츠,2025-06-15,56.40473
808,쇼츠,2025-06-16,60.81808
809,쇼츠,2025-06-17,62.86329
810,쇼츠,2025-06-18,62.54036
811,쇼츠,2025-06-19,59.20344
812,쇼츠,2025-06-20,67.81485
813,쇼츠,2025-06-21,56.94294
814,쇼츠,2025-06-22,58.55758
815,쇼츠,2025-06-23,56.8353
816,쇼츠,2025-06-24,60.27987
817,쇼츠,2025-06-25,64.9085
818,쇼츠,2025-06-26,59.31108
819,쇼츠,2025-06-27,57.15823
820,쇼츠,2025-06-28,58.12701
821,쇼츠,2025-06-29,50.69967
822,쇼츠,2025-06-30,62.21743
823,쇼츠,2025-07-01,62.32508
824,쇼츠,2025-07-02,67.38428
825,쇼츠,2025-07-03,62.21743
826,쇼츠,2025-07-04,58.01937
827,쇼츠,2025-07-05,62.86329
828,쇼츠,2025-07-06,55.75888
829,쇼츠,2025-07-07,64.47793
830,쇼츠,2025-07-08,66.30785
831,쇼츠,2025-07-09,64.47793
832,쇼츠,2025-07-10,63.18622
833,쇼츠,2025-07-11,64.69321
834,쇼츠,2025-07-12,58.01937
835,쇼츠,2025-07-13,55.86652
836,쇼츠,2025-07-14,59.20344
837,쇼츠,2025-07-15,57.15823
838,쇼츠,2025-07-16,61.78686
839,쇼츠,2025-07-17,65.12378
840,쇼츠,2025-07-18,60.06458
841,쇼츠,2025-07-19,54.68245
842,쇼츠,2025-07-20,56.29709
843,쇼츠,2025-07-21,53.71367
844,쇼츠,2025-07-22,60.06458
845,쇼츠,2025-07-23,61.57158
846,쇼츠,2025-07-24,62.32508
847,쇼츠,2025-07-25,61.78686
848,쇼츠,2025-07-26,51.45317
849,쇼츠,2025-07-27,51.34553
850,쇼츠,2025-07-28,60.71044
851,쇼츠,2025-07-29,56.18945
852,쇼츠,2025-07-30,58.12701
853,쇼츠,2025-07-31,51.45317
854,쇼츠,2025-08-01,49.62325
855,쇼츠,2025-08-02,40.36598
856,쇼츠,2025-08-03,47.14747
857,쇼츠,2025-08-04,55.54359
858,쇼츠,2025-08-05,61.03336
859,쇼츠,2025-08-06,57.69644
860,쇼츠,2025-08-07,54.89773
861,쇼츠,2025-08-08,52.42195
862,쇼츠,2025-08-09,41.98062
863,쇼츠,2025-08-10,46.07104
864,쇼츠,2025-08-11,57.05059
865,쇼츠,2025-08-12,55.97416
866,쇼츠,2025-08-13,58.55758
867,쇼츠,2025-08-14,48.22389
868,쇼츠,2025-08-15,39.3972
869,쇼츠,2025-08-16,37.67491
870,쇼츠,2025-08-17,38.53606
871,쇼츠,2025-08-18,47.47039
872,쇼츠,2025-08-19,45.42518
873,쇼츠,2025-08-20,46.28632
874,쇼츠,2025-08-21,47.57804
875,쇼츠,2025-08-22,42.84176
876,쇼츠,2025-08-23,37.1367
877,쇼츠,2025-08-24,37.45963
878,쇼츠,2025-08-25,42.73412
879,쇼츠,2025-08-26,45.53283
880,쇼츠,2025-08-27,41.76533
881,쇼츠,2025-08-28,55.97416
882,쇼츠,2025-08-29,45.85575
883,쇼츠,2025-08-30,38.75134
884,쇼츠,2025-08-31,41.87298
885,쇼츠,2025-09-01,39.93541
886,쇼츠,2025-09-02,40.36598
887,쇼츠,2025-09-03,42.41119
888,쇼츠,2025-09-04,48.11625
889,쇼츠,2025-09-05,41.44241
890,쇼츠,2025-09-06,41.22712
891,쇼츠,2025-09-07,37.78256
892,쇼츠,2025-09-08,45.31754
893,쇼츠,2025-09-09,49.5156
894,쇼츠,2025-09-10,41.33476
895,쇼츠,2025-09-11,40.04305
896,쇼츠,2025-09-12,42.62648
897,쇼츠,2025-09-13,33.79978
898,쇼츠,2025-09-14,34.33799
899,쇼츠,2025-09-15,43.05705
900,쇼츠,2025-09-16,41.01184
901,쇼츠,2025-09-17,45.74811
902,쇼츠,2025-09-18,39.28955
903,쇼츠,2025-09-19,40.25834
904,쇼츠,2025-09-20,35.6297
905,쇼츠,2025-09-21,31.10871
906,쇼츠,2025-09-22,37.24434
907,쇼츠,2025-09-23,49.40796
908,쇼츠,2025-09-24,45.53283
909,쇼츠,2025-09-25,43.81054
910,쇼츠,2025-09-26,43.59526
911,쇼츠,2025-09-27,46.82454
912,쇼츠,2025-09-28,34.01506
913,쇼츠,2025-09-29,40.90419
914,쇼츠,2025-09-30,40.68891
915,쇼츠,2025-10-01,38.96663
916,쇼츠,2025-10-02,38.6437
917,쇼츠,2025-10-03,33.15392
918,쇼츠,2025-10-04,30.03229
919,쇼츠,2025-10-05,33.69214
920,쇼츠,2025-10-06,31.00107
921,쇼츠,2025-10-07,32.40043
922,쇼츠,2025-10-08,32.29278
923,쇼츠,2025-10-09,35.09149
924,쇼츠,2025-10-10,35.95263
925,쇼츠,2025-10-11,35.73735
926,쇼츠,2025-10-12,33.90742
927,쇼츠,2025-10-13,44.56404
928,쇼츠,2025-10-14,41.33476
929,쇼츠,2025-10-15,39.50484
930,쇼츠,2025-10-16,56.0818
931,쇼츠,2025-10-17,61.24865
932,쇼츠,2025-10-18,38.42841
933,쇼츠,2025-10-19,40.47362
934,쇼츠,2025-10-20,40.68891
935,쇼츠,2025-10-21,34.23035
936,쇼츠,2025-10-22,37.1367
937,쇼츠,2025-10-23,47.79332
938,쇼츠,2025-10-24,42.73412
939,쇼츠,2025-10-25,35.52206
940,쇼츠,2025-10-26,34.01506
941,쇼츠,2025-10-27,37.1367
942,쇼츠,2025-10-28,42.73412
943,쇼츠,2025-10-29,40.36598
944,쇼츠,2025-10-30,37.35199
945,쇼츠,2025-10-31,37.56727
946,쇼츠,2025-11-01,31.10871
947,쇼츠,2025-11-02,30.67814
948,쇼츠,2025-11-03,39.18191
949,쇼츠,2025-11-04,37.99784
950,쇼츠,2025-11-05,38.53606
951,쇼츠,2025-11-06,35.09149
952,쇼츠,2025-11-07,65.87728
953,쇼츠,2025-11-08,32.93864
954,쇼츠,2025-11-09,29.817
955,쇼츠,2025-11-10,36.70613
956,쇼츠,2025-11-11,35.30678
957,쇼츠,2025-11-12,40.25834
958,쇼츠,2025-11-13,37.1367
959,쇼츠,2025-11-14,35.52206
960,쇼츠,2025-11-15,32.18514
961,쇼츠,2025-11-16,32.72335
962,쇼츠,2025-11-17,35.41442
963,쇼츠,2025-11-18,36.06027
